,0
passport love,1.6898584117431312
apply vaccine,1.685525701924714
pass vaccine,1.6839086047261864
wait vaccine,1.6810143565278826
think need,1.6806635432878854
federal government,1.6798393503558482
try vaccine,1.6761813664511873
big deal,1.6754295846439629
choose body,1.671211346855014
vaccine mandatory,1.6634134296328371
good thing,1.6590242299997309
plan face,1.657623667403554
vaccinated person,1.6571497653520284
wo let,1.6569579485727952
passport shit,1.6551929543738815
yes covid,1.6549664587229636
lose vote,1.653401591126518
right choose,1.6515300210306285
passport stay,1.651117062172541
passport province,1.6476340164800651
sense vaccine,1.6469321530056642
personal information,1.6463210307534701
passport introduce,1.6432634755810978
passport bad,1.643190989045935
business pledge,1.6423103791740372
passport difference,1.6340934611018498
receive covid,1.6339570505375836
prevent spread,1.6271453574512924
mask wear,1.6249655246947075
large test,1.6249401568659652
pass large,1.6249401568659652
mask covid,1.6249401568659652
forward vaccine,1.622895106033222
digital currency,1.6224913969746406
passport sound,1.6222732846483217
passport region,1.615013450582349
travel outside,1.6138594973062765
force people,1.6118983737356416
read vaccine,1.6053027304178404
amp covid,1.6024027785707604
stop transmission,1.6009299905424332
fully vaccinated,1.5974021032950994
unvaccinated need,1.5958816038123609
unvaccinated eligible,1.5958816038123609
regard vaccine,1.593596408168683
passport force,1.5929569313910128
charter right,1.5915209371732324
prime minister,1.5911674018162167
oppose force,1.5902155975419374
card oppose,1.5902155975419374
vaccinate carry,1.5902155975419374
leader vaccine,1.5836889536742682
legitimate vaccine,1.5797912139849775
passport implement,1.5797757581090077
understand vaccine,1.577709279929413
introduction vaccine,1.577235737878944
business ask,1.5756004522988987
defy vaccine,1.5745861856905226
explain need,1.5745575886157535
control people,1.5706757220425567
instead vaccine,1.5688714237417976
case surge,1.5649233377944514
need read,1.5643968278386824
td bank,1.5626241184117997
passport td,1.5626241184117997
code allegedly,1.5621275800252967
passport political,1.561712850158068
smart phone,1.5611043601459778
passport requirement,1.5596529572829838
passport restaurant,1.5595528005102575
freedom choice,1.5588032730393087
mandatory vaccination,1.5541298321981538
need travel,1.552525579055573
passport proof,1.5446915322062895
passport yes,1.5442522309952602
wo enforce,1.5419485362046752
passport week,1.5403986768513787
passport time,1.5388614265029348
wo nice,1.537688815227506
new normal,1.5321070870985904
happen vaccine,1.5320929589684789
jump vaccination,1.5320917264381957
abuse protest,1.5316453564396206
verbal abuse,1.5316453564396206
assault verbal,1.5316453564396206
report assault,1.5316453564396206
yellow fever,1.5303226890508714
health unit,1.5239475760402965
sure vaccine,1.5231439163508849
sex offender,1.5222332782497017
pass port,1.5207287287887685
passport mask,1.5202630120631078
piece paper,1.5157797773624706
passport crap,1.515624106568528
water vaccine,1.5096085679620703
file politician,1.5066186305817022
passport test,1.5044048381934196
ticket holder,1.5008821208519953
world order,1.4991932608926963
passport simply,1.4987049223889168
receive vaccine,1.4984167562643527
ask proof,1.4977230589031598
passport achieve,1.4960588002653992
feel like,1.4958554005362763
vaccine record,1.4952342494286286
passport announce,1.4920864149657984
advocate vaccine,1.4897807014880686
buy sell,1.4894433899692887
resistance act,1.4862102883054376
face resistance,1.4862102883054376
freedom amp,1.4861581137665232
wonder need,1.4855603606400718
politician covid,1.4818832428334492
life report,1.4796715764867876
year qr,1.4796715764867876
domestic covid,1.4771619496453654
provincial government,1.4767440920188863
passport available,1.4758974355836383
slippery slope,1.4748472166026685
pass game,1.4732032949629212
passport likely,1.4723652949978943
passport probably,1.4661550738519618
reduce risk,1.465480723872842
th th,1.4638813402086903
passport fuck,1.462907178575778
medical officer,1.4614039142697868
come man,1.4613789688445875
large event,1.460413239896765
passport create,1.457026086357747
vaccination card,1.4559332016215583
information right,1.4537638985219306
feel patron,1.4537638985219306
status personal,1.4537638985219306
patron vaccine,1.4537638985219306
government continue,1.4534635752679494
include vaccine,1.4515045486443863
spread vaccine,1.44947685101076
provide vaccine,1.4482135623906838
ctv news,1.4478812294174148
try covid,1.4467044119154921
need prove,1.443452053823766
look forward,1.44251503867789
conspiracy theorist,1.4420599815351225
people safe,1.441194542359677
pass negative,1.4392024151836904
passport day,1.439109101792902
double vaccine,1.4350797648556344
passport refusal,1.4341107046185884
frustrate premier,1.4341107046185884
leader frustrate,1.4341107046185884
premier vaccine,1.4341107046185884
travel country,1.4319387600225042
passport accept,1.4318504638431322
province implement,1.4307640002511244
passport explain,1.429503674374336
boycott place,1.4255521113662573
expire month,1.4247420504845953
vaccine wo,1.4239206797755255
need use,1.422412861603953
wo stop,1.4222882487307673
bad vaccine,1.4222005458018718
passport serve,1.4215755687939318
passport unvaccinated,1.4168696006535653
announce ontario,1.4116407621538878
vaccine stop,1.4097802773445738
place vaccine,1.408009113952934
issue fine,1.406535994440199
school government,1.406535994440199
start issue,1.406535994440199
vaccination desantis,1.406535994440199
gov desantis,1.406535994440199
passport true,1.406535994440199
proof covid,1.406535994440199
confirm start,1.406535994440199
desantis sign,1.406535994440199
desantis confirm,1.406535994440199
people leader,1.406535994440199
business school,1.406535994440199
sign ban,1.406535994440199
true people,1.406535994440199
lose job,1.4041375353683956
live life,1.4037093762691835
province source,1.4036134194555485
double vaccinate,1.40284522004304
people wo,1.4023140715768172
benefit covid,1.4017159752491881
passport exactly,1.4001476715506012
watch people,1.3980625237325883
passport guess,1.3977507026452678
passport support,1.3970076343799522
ridiculous vaccine,1.3957848055266244
booster jab,1.3945008474568859
like covid,1.3936181264582288
idea covid,1.3935089160490732
passport country,1.3926903203617609
use application,1.391767546062673
people know,1.3908200925248615
passport easy,1.3897887447801862
mean double,1.388737941403343
passport ass,1.3872406948079186
care vaccine,1.3856989860396167
vote need,1.3853540770341544
passport job,1.383870440147212
domestic vaccine,1.3830822422468234
choose vaccinate,1.3748368984985464
ve double,1.3742094451707147
pass covid,1.3741553783071265
covid restriction,1.3738147842107398
contract zerohedge,1.3701265435194094
passport folk,1.369001673773254
passport big,1.365144036398731
premier confident,1.361925464499455
need stop,1.3606942610873833
restaurant vaccine,1.360643962962056
vax mandate,1.3548604324802516
passport useless,1.3517315400909498
shot vaccine,1.351466739851438
pass use,1.3509543514573426
hospital overload,1.3478138344666823
kid covid,1.3478138344666823
damage kid,1.3478138344666823
psychological damage,1.3478138344666823
kid kill,1.3478138344666823
school hall,1.3478138344666823
game murder,1.3478138344666823
murder school,1.3478138344666823
pass parent,1.3478138344666823
term psychological,1.3478138344666823
hall kid,1.3478138344666823
overload long,1.3478138344666823
grandparent hospital,1.3478138344666823
parent grandparent,1.3478138344666823
passport agree,1.3431079538359247
requirement vaccine,1.342500692328064
passport mandatory,1.336824476746583
common sense,1.3349742922308374
check vaccine,1.3339636680972287
passport fully,1.333381468166683
type vaccine,1.3314429065309001
sturgeon covid,1.3311800419021342
infection sturgeon,1.3311800419021342
passport false,1.3311800419021342
false reassurance,1.3311800419021342
passport gym,1.3292597170437273
passport employee,1.3280891745457597
passport actually,1.326813539588684
infection transmission,1.3259292916908696
good reason,1.3254634892569304
industry welcome,1.3242513593020402
issue covid,1.3238538937316693
use covid,1.3233683846338966
good point,1.3228168532592437
government issue,1.3208553043166371
passport convenient,1.3189392102310935
government world,1.3188961220746425
passport segregation,1.3171465838447476
different vaccine,1.31362460985571
roll vaccine,1.3082428509595267
allow happen,1.3064749901885455
venue require,1.3060749430978018
amp pass,1.3044005663683187
covid vaccinate,1.3035345878133928
passport sept,1.3019113899485515
passport negative,1.3009098358562556
high risk,1.2962465117530666
group business,1.2953304347899157
provincial vaccine,1.2937619718161484
fun fact,1.2925232229951795
covid certificate,1.2916301606810434
vaccine medical,1.2899137217859522
medical privacy,1.2883370421182405
away vaccine,1.2842323328255034
passport order,1.2841455382722222
shove vaccine,1.2837622076177886
real vaccine,1.2829256777292073
wo vaccine,1.2817649637576323
clear health,1.279985686944198
kind vaccine,1.2794649448768556
court suspend,1.2791739284764039
medical procedure,1.2786794573459934
download nhs,1.2770155287663782
mask social,1.2762909444811796
pass proof,1.2745880089979589
come passport,1.2704658419701977
mandate covid,1.2703941179673115
business venue,1.2701819945340531
shove ass,1.2673763563712552
passport shove,1.2673763563712552
passport school,1.2672070294543154
vote vaccine,1.2654148043391327
elementary school,1.26374733814355
flatten curve,1.260022739075473
vax passport,1.25942471440803
good business,1.258991201905007
passport venue,1.2572674924234284
passport bar,1.2547996009608091
blast msp,1.253790523027208
snp flawed,1.253790523027208
flawed vaccine,1.253790523027208
plan blast,1.253790523027208
vaccine reduce,1.253700861204128
explain vaccine,1.2533236574179916
business vaccine,1.2519466288217145
push covid,1.2518200520657488
passport yeah,1.2516048832781563
disagree vaccine,1.2510556205740424
shambolic vaccine,1.2497724431235548
health measure,1.2495991600946519
pass requirement,1.2477715345339884
medical apartheid,1.246716218860051
event double,1.2446757043056247
covid bc,1.242978235180832
people travel,1.242721274860984
high covid,1.240665383631435
come save,1.2393714709232624
wo able,1.2386588254118365
passport quebec,1.2379428928238285
passport live,1.2375587164880397
contact trace,1.2370583010114147
pass enter,1.2315592064823557
medical history,1.2300540557055535
passport wrong,1.2293025419390742
like want,1.2284401227426778
passport restriction,1.2280369941998472
davy vaccine,1.2275133757962404
hip mla,1.2275133757962404
mla davy,1.2275133757962404
